Walt Disney's Enchanted Tiki Room,1
Pirates of the Caribbean,7
Tiana's Bayou Adventure,7
Big Thunder Mountain Railroad,8
The Hall of Presidents,10
Haunted Mansion,9
Mickey's PhilharMagic,7
Peter Pan's Flight,8
It's a Small World,5
Seven Dwarfs Mine Train,8
Tomorrowland Speedway,4
Space Mountain,9
Astro Orbiter,5
Tomorrowland Transit Authority PeopleMover,9
Walt Disney's Carousel of Progress,6
Buzz Lightyear's Space Ranger Spin,4
Country Bear Musical Jamboree,4
The Many Adventures of Winnie the Pooh,1
TRON Lightcycle Run,10
Monsters Inc. Laugh Floor,7
