Walt Disney's Enchanted Tiki Room,15.43
Pirates of the Caribbean,8.0
Tiana's Bayou Adventure,12.0
Big Thunder Mountain Railroad,3.0
The Hall of Presidents,25.0
Haunted Mansion,10.0
Mickey's PhilharMagic,12.0
Peter Pan's Flight,2.5
It's a Small World,14.0
Seven Dwarfs Mine Train,2.5
Tomorrowland Speedway,5.0
Space Mountain,3.0
Astro Orbiter,2.0
Tomorrowland Transit Authority PeopleMover,10.0
Walt Disney's Carousel of Progress,20.0
Buzz Lightyear's Space Ranger Spin,5.0
Country Bear Musical Jamboree,10.0
The Many Adventures of Winnie the Pooh,4.0
TRON Lightcycle Run,2.0
Monsters Inc. Laugh Floor,10.0
